The Shining|Drama|8.4
The Blue Lagoon|Adventure|5.8
Star Wars: Episode V - The Empire Strikes Back|Action|8.7
Airplane!|Comedy|7.7
Caddyshack|Comedy|7.3
Friday the 13th|Horror|6.4
The Blues Brothers|Action|7.9
Raging Bull|Biography|8.2
Superman II|Action|6.8
The Long Riders|Biography|7.0
Any Which Way You Can|Action|6.1
The Gods Must Be Crazy|Adventure|7.3
Popeye|Adventure|5.3
Ordinary People|Drama|7.7
Dressed to Kill|Crime|7.1
Somewhere in Time|Drama|7.2
Fame|Drama|6.6
9 to 5|Comedy|6.9
The Fog|Horror|6.8
Stir Crazy|Comedy|6.8
Cruising|Crime|6.5
Heaven's Gate|Adventure|6.8
The Final Countdown|Action|6.7
Xanadu|Fantasy|5.3
Urban Cowboy|Drama|6.4
Altered States|Horror|6.9
Little Darlings|Comedy|6.5
Raise the Titanic|Action|5.0
Brubaker|Crime|7.2
American Gigolo|Crime|6.2
My Bodyguard|Comedy|7.1
Prom Night|Horror|5.4
Smokey and the Bandit II|Action|5.3
Cattle Annie and Little Britches|Drama|6.1
Seems Like Old Times|Comedy|6.7
Private Benjamin|Comedy|6.2
The Hollywood Knights|Comedy|6.3
Motel Hell|Comedy|6.0
The Jazz Singer|Drama|5.9
Coal Miner's Daughter|Biography|7.5
The Watcher in the Woods|Family|6.3
Breaker Morant|Drama|7.9
The Stunt Man|Action|7.1
Where the Buffalo Roam|Biography|6.6
The Awakening|Horror|4.8
Cheech and Chong's Next Movie|Comedy|6.1
The Island|Action|5.3
The Boogey Man|Horror|4.6
The Nude Bomb|Action|5.1
Lion of the Desert|Biography|8.3
Stardust Memories|Comedy|7.3
Melvin and Howard|Comedy|6.8
Can't Stop the Music|Biography|4.2
Bronco Billy|Action|6.1
City of Women|Comedy|7.0
The Private Eyes|Comedy|6.7
When Time Ran Out...|Action|4.6
Oh Heavenly Dog|Comedy|5.4
The Octagon|Action|5.1
Hangar 18|Sci-Fi|5.3
Herbie Goes Bananas|Adventure|5.0
The Competition|Drama|6.7
It's My Turn|Comedy|5.5
Honeysuckle Rose|Drama|6.3
Resurrection|Drama|7.3
Fatso|Comedy|6.3
Moscow Does Not Believe in Tears|Comedy|8.1
The Fiendish Plot of Dr. Fu Manchu|Comedy|5.1
Serial|Comedy|6.6
Hero at Large|Comedy|6.0
Wholly Moses!|Comedy|4.7
Bon Voyage, Charlie Brown (and Don't Come Back!!)|Animation|7.3
In God We Trust (or Gimme That Prime Time Religion)|Comedy|5.5
Roadie|Comedy|5.2
Just Tell Me What You Want|Comedy|5.5
The Last Flight of Noah's Ark|Adventure|5.8
Little Miss Marker|Comedy|6.3
Willie & Phil|Comedy|5.9
Babylon|Drama|7.4
Windwalker|Adventure|6.9
Phobia|Drama|4.0
Windows|Drama|4.8
Loving Couples|Comedy|5.2
The King and the Mockingbird|Animation|7.9
Oh, God! Book II|Comedy|5.2
Those Lips, Those Eyes|Comedy|6.5
La Cage aux Folles II|Comedy|5.8
The Gong Show Movie|Comedy|4.3
Gilda Live|Comedy|6.8
Why Would I Lie?|Comedy|6.5
First Family|Comedy|4.3
Mantis Fist Fighter|Action|6.7
Indiana Jones and the Raiders of the Lost Ark|Action|8.4
Body Heat|Crime|7.4
An American Werewolf in London|Comedy|7.5
Escape from New York|Action|7.2
The Evil Dead|Horror|7.5
Porky's|Comedy|6.2
Blow Out|Crime|7.4
Clash of the Titans|Action|6.9
Excalibur|Adventure|7.4
Mad Max 2|Action|7.6
Das Boot|Adventure|8.3
Stripes|Comedy|6.9
Possession|Drama|7.4
The Cannonball Run|Action|6.2
Thief|Action|7.4
Endless Love|Drama|4.9
Time Bandits|Adventure|7.0
The Four Seasons|Comedy|6.8
Friday the 13th Part 2|Horror|6.1
Scanners|Horror|6.8
For Your Eyes Only|Action|6.7
Halloween II|Horror|6.5
Taps|Drama|6.8
Reds|Biography|7.3
On Golden Pond|Drama|7.6
The Fox and the Hound|Animation|7.3
Chariots of Fire|Biography|7.2
Absence of Malice|Drama|6.9
Tarzan the Ape Man|Adventure|3.4
Victory|Drama|6.7
Arthur|Comedy|6.9
My Dinner with Andre|Biography|7.8
Caveman|Comedy|5.8
Dead & Buried|Horror|6.6
History of the World: Part I|Comedy|6.9
The Howling|Horror|6.6
Dragonslayer|Action|6.7
Cutter's Way|Crime|6.9
Quest for Fire|Adventure|7.3
The Final Conflict|Horror|5.6
Mommie Dearest|Biography|6.7
Private Lessons|Comedy|5.2
The Postman Always Rings Twice|Crime|6.6
Ragtime|Drama|7.3
Deadly Blessing|Horror|5.6
Eyewitness|Crime|6.0
Gallipoli|Adventure|7.4
Outland|Action|6.6
Southern Comfort|Action|7.2
S.O.B.|Comedy|6.4
The Beyond|Horror|6.8
Ghost Story|Drama|6.3
My Bloody Valentine|Horror|6.3
The Funhouse|Horror|5.9
One from the Heart|Drama|6.5
The French Lieutenant's Woman|Drama|7.0
The Great Muppet Caper|Adventure|7.2
True Confessions|Crime|6.3
Looker|Drama|6.1
Nighthawks|Action|6.4
Nice Dreams|Comedy|6.2
Sharky's Machine|Action|6.3
Neighbors|Comedy|5.6
Puberty Blues|Comedy|5.9
Eye of the Needle|Romance|7.1
Wolfen|Horror|6.3
Student Bodies|Comedy|5.5
Prince of the City|Crime|7.5
The Hand|Drama|5.5
Continental Divide|Comedy|6.2
Diva|Music|7.2
Venom|Horror|5.8
Fort Apache the Bronx|Crime|6.7
Eyes of a Stranger|Horror|6.0
Zorro: The Gay Blade|Action|6.2
Under the Rainbow|Comedy|5.4
Carbon Copy|Comedy|5.6
The Incredible Shrinking Woman|Comedy|5.5
The Night the Lights Went Out in Georgia|Drama|6.0
Quartet|Drama|6.3
Graduation Day|Horror|4.9
Modern Problems|Comedy|5.1
Pennies from Heaven|Drama|6.5
American Pop|Animation|7.2
The Legend of the Lone Ranger|Action|5.1
Sphinx|Adventure|5.2
Night School|Horror|5.6
An Eye for an Eye|Action|5.5
Zoot Suit|Drama|6.8
Rich and Famous|Drama|5.9
Buddy Buddy|Comedy|6.5
Bustin' Loose|Comedy|6.1
Modern Romance|Comedy|7.0
Heartbeeps|Comedy|4.3
Back Roads|Adventure|5.6
Take This Job and Shove It|Comedy|5.0
Raggedy Man|Drama|6.8
Whose Life Is It Anyway?|Comedy|7.3
Inchon|Drama|2.7
All Night Long|Comedy|5.5
The Pursuit of D.B. Cooper|Adventure|5.6
Rollover|Drama|5.4
Only When I Laugh|Comedy|6.5
Honky Tonk Freeway|Action|5.2
Paternity|Comedy|4.9
King of the Mountain|Action|5.5
Scream|Horror|2.9
The Devil and Max Devlin|Comedy|5.0
The Amateur|Crime|5.8
Longshot|Comedy|5.1
Comin' at Ya!|Western|5.1
Le Pont du Nord|Adventure|6.9
Silence of the North|Drama|6.3
Fast Times at Ridgemont High|Comedy|7.2
Blade Runner|Action|8.1
The Thing|Horror|8.1
Conan the Barbarian|Action|6.9
E.T. the Extra-Terrestrial|Family|7.8
First Blood|Action|7.7
An Officer and a Gentleman|Drama|7.0
Grease 2|Comedy|4.4
Annie|Comedy|6.6
Poltergeist|Horror|7.3
48 Hrs.|Action|6.9
Star Trek II: The Wrath of Khan|Action|7.7
Paradise|Adventure|4.9
The Last American Virgin|Comedy|6.3
Sophie's Choice|Drama|7.6
Gandhi|Biography|8.0
Tootsie|Comedy|7.4
Tron|Action|6.8
The Secret of NIMH|Animation|7.6
The King of Comedy|Comedy|7.8
Rocky III|Drama|6.8
The Beastmaster|Action|6.2
Creepshow|Comedy|6.9
The Man from Snowy River|Adventure|7.3
Pink Floyd: The Wall|Drama|8.0
Cat People|Fantasy|6.2
Fanny and Alexander|Drama|8.1
Friday the 13th Part III|Horror|5.7
Firefox|Action|6.0
Halloween III: Season of the Witch|Horror|5.0
The Dark Crystal|Adventure|7.2
The Verdict|Drama|7.7
Pieces|Horror|6.1
Zapped!|Comedy|4.9
Six Pack|Comedy|5.9
The World According to Garp|Comedy|7.2
Diner|Comedy|7.1
The Best Little Whorehouse in Texas|Comedy|6.0
The Year of Living Dangerously|Drama|7.1
Night Shift|Comedy|6.6
Summer Lovers|Comedy|5.7
Victor Victoria|Comedy|7.6
The Last Unicorn|Animation|7.4
The Entity|Drama|6.7
Airplane II: the Sequel|Comedy|6.2
The Toy|Comedy|5.8
The House on Sorority Row|Horror|6.0
Evil Under the Sun|Crime|7.1
The Sword and the Sorcerer|Action|5.6
Death Wish II|Action|6.0
Silent Rage|Action|5.5
Megaforce|Action|3.7
Personal Best|Drama|6.3
Dead Men Don't Wear Plaid|Comedy|6.9
Amityville II: The Possession|Horror|5.5
Missing|Biography|7.7
Frances|Biography|7.3
The Seduction|Thriller|4.9
Cannery Row|Comedy|6.7
Deathtrap|Comedy|7.0
Tex|Drama|6.5
Time Walker|Horror|3.6
I, the Jury|Crime|5.9
Tempest|Comedy|6.5
Young Doctors in Love|Comedy|5.5
My Favorite Year|Comedy|7.4
Still of the Night|Crime|6.1
Parasite|Horror|3.9
Making Love|Drama|6.9
Honkytonk Man|Comedy|6.6
The Beast Within|Horror|5.6
Come Back to the 5 & Dime Jimmy Dean, Jimmy Dean|Comedy|7.2
The Final Option|Action|6.4
Trail of the Pink Panther|Comedy|5.0
The Sender|Drama|6.0
The Border|Crime|6.4
Kiss Me Goodbye|Comedy|6.0
A Midsummer Night's Sex Comedy|Comedy|6.6
Vice Squad|Action|6.5
Best Friends|Comedy|5.5
Shoot the Moon|Drama|6.9
Lookin' to Get Out|Comedy|5.1
Barbarosa|Western|6.4
Visiting Hours|Horror|5.7
A Little Sex|Comedy|4.9
Class Reunion|Comedy|4.7
Hanky Panky|Action|5.6
Author! Author!|Comedy|6.2
Split Image|Drama|6.5
The Challenge|Action|6.3
The Soldier|Action|5.3
Wrong Is Right|Comedy|5.7
Six Weeks|Drama|5.7
The State of Things|Drama|7.0
Jekyll and Hyde... Together Again|Sci-Fi|6.2
Forced Vengeance|Action|5.6
The Missionary|Comedy|6.2
The Escape Artist|Comedy|6.2
Night Crossing|Drama|6.5
Endangered Species|Drama|5.9
Things Are Tough All Over|Action|6.0
Homework|Comedy|3.5
Jinxed!|Comedy|4.7
The Return of Martin Guerre|Biography|7.4
They Call Me Bruce|Action|5.7
Some Kind of Hero|Comedy|5.8
Hammett|Crime|6.5
Five Days One Summer|Drama|6.1
Penitentiary II|Crime|4.4
If You Could See What I Hear|Biography|6.8
Partners|Comedy|5.3
Richard Pryor: Live on the Sunset Strip|Comedy|7.7
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales|Animation|7.1
Monsignor|Crime|5.1
Yes, Giorgio|Comedy|3.9
I Ought to Be in Pictures|Comedy|6.2
La traviata|Drama|7.2
Fighting Back|Action|6.1
Kamikaze 89|Sci-Fi|5.8
The Wizard of Oz|Animation|6.8
Heidi's Song|Animation|6.3
Love Child|Crime|5.7
Boardinghouse|Comedy|3.8
Experience Preferred... But Not Essential|Drama|7.0
The Personals|Comedy|6.7
Lonely Hearts|Comedy|6.8
Scarface|Crime|8.3
The Outsiders|Crime|7.1
Star Wars: Episode VI - Return of the Jedi|Action|8.3
Risky Business|Comedy|6.8
National Lampoon's Vacation|Adventure|7.4
Trading Places|Comedy|7.5
Superman III|Action|5.0
The Big Chill|Comedy|7.2
Staying Alive|Drama|4.7
Jaws 3-D|Adventure|3.7
Christine|Horror|6.7
Sleepaway Camp|Horror|6.3
Flashdance|Drama|6.2
WarGames|Action|7.1
The Right Stuff|Adventure|7.8
Krull|Action|6.1
Spring Break|Comedy|4.9
The Dead Zone|Drama|7.2
Octopussy|Action|6.5
Private School|Comedy|5.3
Valley Girl|Comedy|6.4
Rumble Fish|Crime|7.2
Videodrome|Horror|7.2
Terms of Endearment|Comedy|7.4
Twilight Zone: The Movie|Horror|6.5
Never Say Never Again|Action|6.2
A Christmas Story|Comedy|7.9
Cujo|Horror|6.1
Sudden Impact|Action|6.6
The Hunger|Drama|6.7
Mr. Mom|Comedy|6.6
Blue Thunder|Action|6.4
Breathless|Action|5.9
Psycho II|Crime|6.5
Local Hero|Comedy|7.4
Bad Boys|Crime|7.2
Silkwood|Biography|7.2
All the Right Moves|Drama|5.9
The Keep|Drama|5.7
My Tutor|Comedy|5.2
Yentl|Drama|6.6
Fire and Ice|Animation|6.6
Eddie and the Cruisers|Drama|6.9
Yellowbeard|Action|6.0
The Meaning of Life|Comedy|7.5
Nostalghia|Drama|8.1
Hot Dog... The Movie|Comedy|5.0
Smokey and the Bandit Part 3|Action|3.5
Deathstalker|Action|4.6
Porky's II: The Next Day|Comedy|5.0
Something Wicked This Way Comes|Fantasy|6.8
Tender Mercies|Drama|7.4
Star 80|Biography|6.7
Gorky Park|Crime|6.7
Lone Wolf McQuade|Action|6.3
Easy Money|Comedy|6.3
Merry Christmas Mr. Lawrence|Drama|7.3
Losin' It|Comedy|4.9
Screwballs|Comedy|4.7
Brainstorm|Sci-Fi|6.4
The Man with Two Brains|Comedy|6.4
Angel|Action|5.7
10 to Midnight|Crime|6.3
Uncommon Valor|Action|6.4
Doctor Detroit|Comedy|5.2
Mortuary|Horror|5.2
Stroker Ace|Action|4.9
Sahara|Adventure|5.0
Two of a Kind|Comedy|4.7
Chained Heat|Action|5.0
